model_family,reported_dim,ambient_latent_dim,seed,selected_epoch,best_eval_recon_loss,best_eval_total_loss,best_eval_kl,concentration_mean,concentration_q95,concentration_max,wall_clock_training_s,final_eval_recon_loss,final_eval_total_loss,final_eval_kl,run_dir
spcauchy,20,21,0,40,74.24973828279519,101.66164272646361,27.411904250519186,0.7719986559510231,0.830119514465332,0.8666609525680542,173.30987023899797,74.24973828279519,101.66164272646361,27.411904250519186,experiments/mnist/outputs/benchmark/spcauchy/dim_20/seed_0
spcauchy,5,6,1,38,100.14199182051647,113.39384325244758,13.251851782014098,0.9379015833437443,0.9525172799825669,0.9646963477134705,175.0990870000096,100.07042124301573,113.27800393406349,13.207582377180268,experiments/mnist/outputs/benchmark/spcauchy/dim_5/seed_1
spcauchy,5,6,4,40,100.01550650294823,113.27802035174793,13.262513885015174,0.9380319468259811,0.9524952322244644,0.9674363732337952,173.00212656601798,100.01550650294823,113.27802035174793,13.262513885015174,experiments/mnist/outputs/benchmark/spcauchy/dim_5/seed_4
spcauchy,5,6,3,40,100.18408376959306,113.42500575584701,13.24092201039761,0.9377518907785416,0.9530048340559005,0.9648784399032593,172.7789796940051,100.18408376959306,113.42500575584701,13.24092201039761,experiments/mnist/outputs/benchmark/spcauchy/dim_5/seed_3
spcauchy,5,6,2,38,100.17579090746143,113.42247134824342,13.246680283848244,0.9378512150764465,0.9529880553483963,0.9657533764839172,173.7792963850079,100.2518560675126,113.47513029846964,13.223274339603472,experiments/mnist/outputs/benchmark/spcauchy/dim_5/seed_2
spcauchy,5,6,0,39,100.57391415366644,113.78830207148685,13.21438777295849,0.9374164897859096,0.9529988378286361,0.9665761590003967,173.2101279440103,100.79752031157288,114.06604148768172,13.268521284755272,experiments/mnist/outputs/benchmark/spcauchy/dim_5/seed_0
vmf,3,4,1,40,118.1533365370352,127.20588799971569,9.052551861050762,1014.5359032897949,1594.4208435058592,2235.651611328125,290.72251216397854,118.12314808519581,127.17569993417474,9.052551861050762,experiments/mnist/outputs/benchmark/vmf/dim_3/seed_1
vmf,3,4,4,39,118.37385279015649,127.40379681164706,9.029944262927092,1000.2339740325928,1581.1586181640625,2206.294189453125,291.6148341910448,118.28987730002102,127.36485908604875,9.074981725668605,experiments/mnist/outputs/benchmark/vmf/dim_3/seed_4
vmf,3,4,3,40,118.5234625128251,127.59130067463163,9.067837944513634,1033.7390273345948,1693.231469726562,2715.940673828125,292.19384800700936,118.51557227026058,127.58340985261941,9.067837944513634,experiments/mnist/outputs/benchmark/vmf/dim_3/seed_3
vmf,3,4,2,40,118.56499007985562,127.55118348326864,8.98619364484956,956.9277223052978,1393.632470703125,1850.8695068359375,292.7297493930091,118.54374936260754,127.52994276602057,8.98619364484956,experiments/mnist/outputs/benchmark/vmf/dim_3/seed_2
